load,year,month,day,hour,minute,humidity,temperature
5,2019,8,13,4,40,13.8999996185303,150.620002746582
5,2019,8,13,4,50,13.6999998092651,151.520002746582
5,2019,8,13,5,0,3283.60009765625,151.520002746582
5,2019,8,13,5,10,13.8000001907349,151.879997253418
5,2019,8,13,5,20,13.8000001907349,151.879997253418
5,2019,8,13,5,30,13.6000003814697,151.879997253418
5,2019,8,13,5,40,13.6000003814697,151.520002746582
5,2019,8,13,5,50,13.6000003814697,150.8
5,2019,8,13,6,0,13.6999998092651,150.620002746582
5,2019,8,13,6,10,13.8000001907349,150.259994506836
5,2019,8,13,6,20,13.6999998092651,150.259994506836
5,2019,8,13,6,30,13.8999996185303,151.159994506836
5,2019,8,13,6,50,13.6999998092651,151.340005493164
5,2019,8,13,7,0,13.8000001907349,151.520002746582
5,2019,8,13,7,10,13.6999998092651,151.520002746582
5,2019,8,13,7,20,13.8999996185303,151.879997253418
5,2019,8,13,7,30,13.8000001907349,152.059994506836
5,2019,8,13,7,40,13.8000001907349,151.879997253418
5,2019,8,13,7,50,13.8000001907349,152.059994506836
5,2019,8,13,8,0,13.6000003814697,152.420002746582
5,2019,8,13,8,10,13.6999998092651,152.059994506836
5,2019,8,13,8,20,13.8000001907349,152.059994506836
5,2019,8,13,8,30,13.6999998092651,152.059994506836
5,2019,8,13,8,40,13.8000001907349,152.420002746582
5,2019,8,13,8,50,13.8000001907349,152.059994506836
5,2019,8,13,9,0,14.1000003814697,152.420002746582
5,2019,8,13,9,10,14.1999998092651,152.420002746582
5,2019,8,13,9,20,14.3999996185303,152.059994506836
5,2019,8,13,9,30,14.6999998092651,152.6
5,2019,8,13,9,40,15.1000003814697,151.879997253418
5,2019,8,13,9,50,15.1000003814697,152.6
5,2019,8,13,10,0,15.1999998092651,151.879997253418
5,2019,8,13,10,10,15.1000003814697,152.779997253418
5,2019,8,13,10,20,15.1999998092651,151.879997253418
5,2019,8,13,10,30,15.0,152.6
5,2019,8,13,10,40,15.3000001907349,151.879997253418
5,2019,8,13,10,50,15.1000003814697,152.420002746582
5,2019,8,13,11,0,15.3000001907349,152.059994506836
5,2019,8,13,11,10,15.3000001907349,152.420002746582
5,2019,8,13,11,20,15.3000001907349,152.059994506836
5,2019,8,13,11,30,15.3999996185303,152.420002746582
5,2019,8,13,11,40,15.3999996185303,152.059994506836
5,2019,8,13,11,50,15.8000001907349,152.6
5,2019,8,13,12,0,15.8999996185303,152.420002746582
5,2019,8,13,12,10,15.8000001907349,152.6
5,2019,8,13,12,20,15.8999996185303,151.879997253418
5,2019,8,13,12,30,15.6999998092651,152.6
5,2019,8,13,12,40,15.8999996185303,152.059994506836
5,2019,8,13,12,50,15.8000001907349,152.6
5,2019,8,13,13,0,16.1000003814697,152.059994506836
5,2019,8,13,13,10,15.6000003814697,152.420002746582
5,2019,8,13,13,20,15.6000003814697,152.420002746582
5,2019,8,13,13,30,15.3999996185303,152.059994506836
5,2019,8,13,13,40,15.3000001907349,152.6
5,2019,8,13,13,50,15.3000001907349,152.059994506836
5,2019,8,13,14,0,15.1999998092651,152.6
5,2019,8,13,14,10,15.1999998092651,152.059994506836
5,2019,8,13,14,20,15.3000001907349,152.6
5,2019,8,13,14,30,15.5,152.059994506836
5,2019,8,13,14,40,15.1000003814697,152.959994506836
5,2019,8,13,14,50,15.5,152.059994506836
